CoC_Code,CoC_Name,Homeless_Count,Sheltered_Count,Unsheltered_Count,Year,State,Area_Name,Total_Pop,Poverty_Count,Unemployed_Count,Vacant_Units,Total_Housing_Units,Rent_Burden_30_35,Rent_Burden_35_40,Rent_Burden_40_50,Rent_Burden_50_Plus,Total_Pop_MOE,Poverty_Count_MOE,Unemployed_Count_MOE,Vacant_Units_MOE,Total_Housing_Units_MOE,Rent_Burden_30_35_MOE,Rent_Burden_35_40_MOE,Rent_Burden_40_50_MOE,Rent_Burden_50_Plus_MOE,Poverty_Rate,Unemployment_Rate,Vacancy_Rate,Rent_Burden_Rate
CA-608,Riverside City & County CoC,3316.0,1336.0,1980.0,2022,CA,Riverside City & County,2429487,272432.0,77625.0,101670,851646,23392.0,17319.0,24984.0,64727.0,0.0,8216.0,2771.0,2332.0,261.0,1425.0,1113.0,1186.0,2193.0,0.11213560722901583,0.03195118969560241,0.11938058770897768,0.05368293800296112
CA-609,San Bernardino City & County CoC,3333.0,944.0,2389.0,2022,CA,San Bernardino City & County,2180563,294246.0,73890.0,73176,733104,23427.0,17446.0,26804.0,72807.0,0.0,8060.0,2714.0,1943.0,420.0,1230.0,1169.0,1448.0,2396.0,0.13494038007615464,0.03388574418624915,0.09981666994041773,0.06442556348979599
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",2248.0,892.0,1356.0,2022,CA,"Oxnard, San Buenaventura/Ventura County",842009,74315.0,22989.0,17838,293491,9858.0,7022.0,11154.0,27435.0,0.0,3838.0,1263.0,1109.0,178.0,770.0,809.0,839.0,1270.0,0.08825915162427005,0.027302558523721245,0.06077869508775397,0.06587696806091146
CA-613,Imperial County CoC,1057.0,132.0,925.0,2022,CA,Imperial County,179578,36092.0,9205.0,9883,56907,1839.0,1543.0,1537.0,5146.0,0.0,3003.0,1219.0,735.0,79.0,382.0,389.0,331.0,689.0,0.20098230295470493,0.05125906291416543,0.1736693201187903,0.056048068248894634
CA-614,San Luis Obispo County CoC,1448.0,292.0,1156.0,2022,CA,San Luis Obispo County,281712,33728.0,6905.0,15869,123968,3847.0,2794.0,4031.0,11181.0,0.0,2077.0,761.0,888.0,114.0,626.0,460.0,594.0,815.0,0.11972510933151588,0.024510847958198443,0.12800884099122353,0.07757213040268075
CO-500,Colorado Balance of State CoC,1315.0,787.0,528.0,2022,CO,Colorado Balance of State,1811736,203340.0,42784.0,144432,857343,17541.0,13404.0,18334.0,48828.0,353.0070820819322,5462.288714449283,1794.4024074883537,2330.1332579919117,649.221841899978,1127.2018452788302,973.318550116045,1176.3834408899165,1759.0579865371124,0.1122348951502868,0.02361491961301205,0.1684646635010725,0.054150825506585946
CO-503,Metropolitan Denver CoC,6884.0,4806.0,2078.0,2022,CO,Metropolitan Denver,3228731,271440.0,80186.0,64181,1352943,46124.0,31170.0,43105.0,114185.0,0.0,6952.804685880368,2548.122053591625,2300.821157760855,385.1441288660649,1983.7439350883974,1623.6560596382474,1756.6858000223033,2896.0640531590457,0.08407018113308294,0.024835144209907855,0.04743806649651907,0.07265517009623905
CO-504,Colorado Springs/El Paso County CoC,1406.0,1139.0,267.0,2022,CO,Colorado Springs/El Paso County,730323,65325.0,20513.0,13438,289809,8893.0,7572.0,9398.0,22526.0,0.0,3663.0,1220.0,1022.0,150.0,895.0,795.0,719.0,1424.0,0.089446724257623,0.0280875722111997,0.04636847026834916,0.06625698492310936
CT-505,Connecticut Balance of State CoC,2327.0,2085.0,242.0,2022,CT,Connecticut Balance of State,97942,6129.0,2322.0,3420,38323,389.0,404.0,481.0,1399.0,0.0,742.0,413.0,445.0,61.0,110.0,147.0,188.0,252.0,0.06257785219823978,0.023707908762328724,0.08924144769459594,0.027291662412448184
DC-500,District of Columbia CoC,4410.0,3720.0,690.0,2022,DC,District of Columbia,670587,98039.0,28264.0,34587,350372,17485.0,12229.0,12912.0,39004.0,0.0,3824.0,1773.0,1506.0,129.0,1377.0,1221.0,1118.0,1500.0,0.1461987780854684,0.04214814781676352,0.09871507997214389,0.12172917160636874
